idx,Category,Freq,Term,Total,loglift,logprob
918,Topic4,45.14161,telegrafico,393.53424,-0.22300000488758087,-6.007999897003174
1604,Topic4,30.607468,papa,231.33762,-0.08030000329017639,-6.396500110626221
974,Topic4,20.43764,unito,130.0994,0.09139999747276306,-6.8003997802734375
594,Topic4,24.927538,nome,187.96289,-0.0778999999165535,-6.601799964904785
456,Topic4,41.45279,italia,504.5979,-0.5568000078201294,-6.093200206756592
606,Topic4,23.378187,numerare,177.03395,-0.08219999819993973,-6.665999889373779
608,Topic4,24.813538,nuovo,210.52539,-0.19589999318122864,-6.606400012969971
564,Topic4,21.816307,morto,158.27715,-0.03929999843239784,-6.735099792480469
295,Topic4,24.725927,dovere,219.12076,-0.2393999993801117,-6.609899997711182
951,Topic4,22.52244,trovare,178.41124,-0.12720000743865967,-6.7032999992370605
238,Topic4,26.784296,daily,330.09018,-0.5691999793052673,-6.53000020980835
401,Topic4,23.381502,gran,209.87292,-0.25220000743865967,-6.665800094604492
2502,Topic4,21.662857,volere,179.13466,-0.17020000517368317,-6.742199897766113
508,Topic4,20.951311,maggio,148.54042,-0.016300000250339508,-6.775599956512451
739,Topic4,21.703564,quotidiano,206.10512,-0.3084999918937683,-6.740300178527832
18879,Topic5,0.48798174,privilegii,2.202457,0.608299970626831,-10.362299919128418
12758,Topic5,0.99406725,medaglia,4.592759,0.5849000215530396,-9.650799751281738
7720,Topic5,0.4779424,cordi,2.223571,0.5778999924659729,-10.383099555969238
11775,Topic5,6.596331,terno,31.11608,0.5641000270843506,-7.758299827575684
12078,Topic5,0.47501263,perta,2.253554,0.5583999752998352,-10.389300346374512
15408,Topic5,0.6801356,mormone,3.240623,0.554099977016449,-10.03030014038086
4489,Topic5,1.6457987,trasformazione,7.9117675,0.545199990272522,-9.146599769592285
7848,Topic5,0.48271936,prela,2.3403249,0.5367000102996826,-10.373200416564941
18345,Topic5,0.49613726,ecuador,2.4238563,0.5289999842643738,-10.34570026397705
9845,Topic5,1.7971777,zanardelll,8.807154,0.5260000228881836,-9.058600425720215
22383,Topic5,0.4504055,disonore,2.23348,0.5141000151634216,-10.442500114440918
18905,Topic5,0.47554737,salarii,2.3648071,0.5113000273704529,-10.388099670410156
20592,Topic5,0.46585995,1596,2.3327837,0.5044000148773193,-10.408699989318848
22360,Topic5,0.2929551,catastrofico,1.4688658,0.5030999779701233,-10.872599601745605
6191,Topic5,0.6089794,rivivere,3.0538633,0.5029000043869019,-10.140800476074219
10305,Topic5,1.5287899,gelare,7.6848183,0.5005000233650208,-9.220399856567383
5825,Topic5,0.3059803,appenderli,1.5412548,0.4984999895095825,-10.829099655151367
6123,Topic5,0.29926834,passionisi,1.5142252,0.49399998784065247,-10.851300239562988
15305,Topic5,0.4679314,detl,2.3706546,0.4927000105381012,-10.40429973602295
